Image_Path,Label,Split
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00000.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00000_aug3985.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00002.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00005.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00005_aug56272.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00010.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00017.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00021.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00022.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00023.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00024_aug12724.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00027.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00030.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00032.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00033.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00037.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00038.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00043.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00044.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00048.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00051.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00052.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00054.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00055.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00056.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00064_aug8065.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00066.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00068_aug3925.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00069.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00070_aug8100.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00071.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00073.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00073_aug1975.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00074.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00075.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00076.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00077.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00078.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00079.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00081.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00083_aug77024.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00085.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00086_aug2711.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00087_aug5697.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00087_aug87972.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00088.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00089.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00092.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00094.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00095.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00097.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00098.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00098_aug6987.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00103.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00105_aug19009.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00107.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00110.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00112.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00113.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00114.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00115.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00116.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00117.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00120.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00122.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00123.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00124.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00124_aug5807.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00126.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00126_aug37816.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00129.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00133.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00134.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00138.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00139.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00139_aug4622.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00144.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00145.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00145_aug4701.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00148.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00149.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00150.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00155.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00157.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00159.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00162.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00162_aug2642.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00162_aug2642_aug50166.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00162_aug29838.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00163_aug4042.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00165.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00165_aug6966.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00166.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00168_aug32953.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00170.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00171_aug8481.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00172.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00174.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00175.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00179_aug75878.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00180.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00181.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00182.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00184.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00186.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00187.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00188.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00189_aug86512.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00190.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00191.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00191_aug7566.jpg,Baton,train
C:\Users\midof\OneDrive\Desktop\INeuron\CNN\PidRayDataset\SPXray\SPXray\Dataset\SPXray_classification_single_class_train\Baton\PID_xray_00192.jpg,Baton,train
